Value,Label
1,Accessories for information processing equipment
2,Accessories for personal transport equipment
3,Accessories for photographic and cinematographic equipment
4,Accommodation services
5,Accommodation services of other establishments
6,Actual rentals for housing
7,Actual rentals paid by tenants
8,Actual rentals paid by tenants for secondary residences
9,Administered prices
10,"Administered prices, energy"
11,"Administered prices, non-energy"
12,Administrative fees
13,"Aeroplanes, microlight aircraft, gliders, hang-gliders and hot-air balloons"
14,Alcoholic beverages
15,"Alcoholic beverages, tobacco and narcotics"
16,Alcoholic soft drinks
17,All-items HICP
18,Animal drawn vehicles
19,Articles for babies
20,"Articles for personal hygiene and wellness, esoteric products and beauty products"
21,Artificial sugar substitutes
22,"Audio-visual, photographic and information processing equipment"
23,Baby food
24,Bed linen
25,Beef and veal
26,Beer
27,Beer-based drinks
28,Bicycles
29,Binding services and E-book downloads
30,"Boats, outboard motors and fitting out of boats"
31,Books
32,Bread
33,Bread and cereals
34,Breakfast cereals
35,Bundled telecommunication services
36,Butter
37,Calculators and other information processing equipment
38,Cameras
39,"Camper vans, caravans and trailers"
40,Canteens
41,Carpet and rugs
42,Carpets and other floor coverings
43,Catering services
44,Charges by banks and post offices
45,Cheese and curd
46,Child care services
47,Chocolate
48,Cigarettes
49,Cigars
50,"Cinemas, theatres, concerts"
51,Cleaning and maintenance products
52,Cleaning equipment
53,Cleaning of clothing
54,Cleaning services
55,"Cleaning, repair and hire of clothing"
56,Clocks and watches
57,"Clothes washing machines, clothes drying machines and dish washing machines"
58,Clothing
59,Clothing accessories
60,Clothing and footwear
61,Clothing materials
62,Coal
63,Cocoa and powdered chocolate
64,Coffee
65,"Coffee machines, tea-makers and similar appliances"
66,"Coffee, tea and cocoa"
67,Combined passenger transport
68,Communications
69,Confectionery products
70,Cookers
71,Corrective eye-glasses and contact lenses
72,Counselling
73,Crisps
74,Cultural services
75,"Cutlery, flatware and silverware"
76,Dental services
77,Diesel
78,Domestic flights
79,Domestic services and household services
80,Domestic services by paid staff
81,Dried fruit and nuts
82,"Dried vegetables, other preserved or processed vegetables"
83,"Dried, salted or smoked meat"
84,"Dried, smoked or salted fish and seafood"
85,"Driving lessons, tests, licences and road worthiness tests"
86,Edible ices and ice cream
87,Edible offal
88,Education
89,Education not definable by level
90,"Education, health and social protection"
91,Educational text books
92,Eggs
93,Electric appliances for personal care
94,Electrical appliances for personal care
95,"Electrical appliances for personal care; other appliances, articles and products for personal care"
96,Electricity
97,"Electricity, gas and other fuels"
98,"Electricity, gas, solid fuels and heat energy"
99,Energy
100,Energy and seasonal food
101,Energy and unprocessed food
102,Equipment for camping and open-air recreation
103,Equipment for sport
104,"Equipment for sport, camping and open-air recreation"
105,"Equipment for the reception, recording and reproduction of sound"
106,"Equipment for the reception, recording and reproduction of sound and picture"
107,"Equipment for the reception, recording and reproduction of sound and vision"
108,Fast food and take away food services
109,"Fees and service charges of brokers, investment counsellors"
110,Fiction books
111,Financial services n.e.c.
112,Fish and seafood
113,Fixed telephone equipment
114,Flours and other cereals
115,Food
116,Food and non-alcoholic beverages
117,Food including alcohol and tobacco
118,Food processing appliances
119,Food products n.e.c.
120,Footwear
121,Footwear for infants and children
122,Footwear for men
123,Footwear for women
124,Fortified wines
125,Frequent out-of-pocket purchases
126,Fresh low fat milk
127,Fresh or chilled fish
128,Fresh or chilled fruit
129,Fresh or chilled seafood
130,Fresh or chilled vegetables other than potatoes and other tubers
131,Fresh whole milk
132,Frozen fish
133,Frozen fruit
134,Frozen seafood
135,Frozen vegetables other than potatoes and other tubers
136,Fruit
137,Fruit and vegetables juices
138,Fuels and lubricants for personal transport equipment
139,Fully administered prices
140,Funeral services
141,"Funicular, cable-car and chair-lift transport"
142,Furnishings fabrics and curtains
143,"Furnishings, household equipment and routine household maintenance"
144,Furniture and furnishings
145,"Furniture and furnishings, carpets and other floor coverings"
146,Games and hobbies
147,"Games, toys and hobbies"
148,Garage rentals and other rentals paid by tenants
149,Garden furniture
150,Garden products
151,"Gardens, plants and flowers"
152,Garments
153,Garments for infants (0 to 2 years) and children (3 to 13 years)
154,Garments for men
155,Garments for women
156,Gas
157,General practice
158,"Glassware, crystal-ware, ceramic ware and chinaware"
159,"Glassware, tableware and household utensils"
160,Goods (overall index excluding services)
161,Goods and services for routine household maintenance
162,Hairdressing for men and children
163,Hairdressing for women
164,Hairdressing salons and personal grooming establishments
165,Health
166,Hearing aids
167,Heat energy
168,"Heaters, air conditioners"
169,Hire of equipment and accessories for culture
170,Hire of furniture and furnishings
171,"Hire of garages, parking spaces and personal transport equipment"
172,"Holiday centres, camping sites, youth hostels and similar accommodation services"
173,"Horses, ponies and accessories"
174,Hospital services
175,"Hotels, motels, inns and similar accommodation services"
176,Household appliances
177,Household furniture
178,Household textiles
179,"Housing, water, electricity, gas and other fuels"
180,Industrial goods
181,Information processing equipment
182,Insurance
183,Insurance connected with health
184,Insurance connected with the dwelling
185,Insurance connected with transport
186,International flights
187,Internet access provision services
188,Irons
189,"Jams, marmalades and honey"
190,Jewellery
191,"Jewellery, clocks and watches"
192,Lager beer
193,Lamb and goat
194,Legal services and accountancy
195,Letter handling services
196,Lighting equipment
197,"Liquefied hydrocarbons (butane, propane, etc.)"
198,Liquid fuels
199,Liquid fuels and fuels and lubricants for personal transport equipment
200,Low and non-alcoholic beer
201,Lubricants
202,Magazines and periodicals
203,Mainly administered prices
204,Maintenance and repair of other major durables for recreation and culture
205,Maintenance and repair of personal transport equipment
206,Maintenance and repair of the dwelling
207,Maintenance charges in multi-occupied buildings
208,Maintenance services for heating systems
209,Major durables for indoor and outdoor recreation including musical instruments
