Country,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Austria,97.94710834,98.28306662,99.23577927,99.25607704,99.37798829,99.20579118,98.58065051,98.80439696,99.76754259,99.75739536,99.78784944,100.554819,99.48049389,99.77571845,100.7183521,100.8504884,100.9419305,100.9317804,100.2662297,100.2865368,101.2085705,101.2187239,101.3610563,101.401682,100,100.2741673,101.6957758,101.8277823,102.0004062,101.9496344,101.4317628,101.2692933,101.7973193,101.8988627,101.8683997,102.5081235
Belgium,99.25420021,101.779217,101.779217,101.6152222,101.5331587,101.8317553,100.5344064,102.1197607,101.9454599,101.8326089,101.9354182,102.3893357,100.5040653,102.7627017,102.7318728,102.5266963,102.3727369,102.5271608,101.1980111,102.6581494,102.2790724,102.2893568,102.1250861,102.1148036,100,102.4279835,102.6954733,102.9938272,103.3230453,103.4979424,102.1296296,103.4773663,103.2510288,103.5185185,103.600823,103.6419753
Bulgaria,103.7918393,103.9724516,103.5236496,103.0748477,103.024787,102.735111,102.6650393,102.4650879,102.2053032,102.3658298,102.2457643,102.6783271,102.3886422,101.7911012,101.5014111,101.7222846,101.2139224,100.9043081,101.5394336,101.4493454,100.7726183,100.8528353,100.3345168,100.6965174,100,100.0601202,100.3907816,100.8617234,100.9018036,100.3507014,100.5410822,100.6112224,99.81963928,99.65931864,99.38877756,99.7995992
Croatia,100.188681,100.6053716,100.9914556,101.5102996,101.5102996,101.6725052,101.7130081,102.068506,101.9068133,101.353136,100.9398201,100.6068851,100.6170086,100.4654008,100.9229862,101.4418966,101.8994833,102.1531918,102.2849632,102.366013,102.123631,101.881249,101.2274548,100.5237184,100,100.1113698,100.9618305,101.3566873,101.9337856,102.227397,102.0654045,102.2780196,101.6300496,101.3769363,100.7897135,100.2227397
Cyprus,102.1720937,102.4163784,103.3591748,103.6034746,104.4429494,105.0456031,103.8904831,104.1552501,104.2874655,103.6915949,102.3579732,101.7921804,100.6370491,101.1990389,102.5270833,103.27441,104.435836,105.1935077,104.8995295,105.0522365,104.3955969,104.0611905,102.4300746,100.927139,100,100.5289391,101.2206286,101.5664734,102.7057268,103.0617435,102.4310853,103.112603,102.4616011,102.2073034,100.9561591,100.3661886
Czechia,99.78788699,99.78788699,99.88847962,100.0898677,99.78929751,100.2943041,99.99372175,99.79313253,99.49255081,99.59314995,99.49275363,99.99779299,100.0983944,100.0983944,100.1989958,100.1989958,100.2995972,100.2995972,100.501002,100.501002,100.3004012,100.4010034,100.1004016,100,100,100.1005025,100.3015075,100.7035176,101.0050251,101.2060302,101.0050251,100.7035176,100.6030151,100.5025126,100.1005025,99.89949749
Denmark,99.46633139,100.5908223,100.7934221,100.5916335,100.794235,100.5924447,100.2900626,100.3912635,100.6954794,100.898086,100.5956942,100.4946945,100.2928979,100.9031995,101.0044063,101.1056132,101.1056132,101.0046085,100.8028011,100.7017963,101.0060314,101.1072398,100.9054289,100.6030151,100,100.8088979,101.314459,101.5166835,101.5166835,101.4155713,101.314459,101.0111223,101.314459,101.2133468,101.0111223,100.9100101
Estonia,98.94061887,99.60280382,100.4396307,100.5308013,100.9270719,101.507288,101.71012,101.6494278,101.1458638,100.8230042,100.3695727,100.3291011,100.5116283,100.7449751,101.1616967,101.3543856,101.5877341,101.8719524,101.7001615,101.4779544,101.3667291,101.3060304,100.3931828,100.4033071,100,100.5264224,101.1844503,101.7716137,102.1360599,102.1866775,101.8526017,101.6501316,101.0528447,101.2856854,100.9414861,100.2328407
Finland,98.26882099,98.85513841,99.3703246,99.55154708,99.54149847,99.48123725,99.45109751,99.33064805,99.71400826,99.84482692,99.81468661,100.1777958,100.1275713,100.4097628,100.6616436,100.8025417,100.5019377,100.5522138,100.4117076,100.572769,101.2099457,101.0393727,100.8888373,100.7383019,100,100.3417429,100.7136396,100.7337421,100.6231782,100.6332295,100.3316916,100.3819479,100.5327169,100.7035883,100.6633833,100.4925118
France,99.59277268,99.90771464,100.7348329,100.623546,100.6640751,100.8467133,100.4934672,101.0024495,100.8002829,100.6687822,100.6282839,101.0146509,100.3705404,100.9922507,101.5115172,101.4811367,101.5115354,101.4609113,101.0774306,101.5660224,101.1925808,101.2229812,101.0510568,101.1220196,100,100.7294833,101.4893617,101.621074,101.8844985,101.8135765,101.3171226,101.6818642,101.3069909,101.3880446,101.1752786,101.408308
Germany (until 1990 former territory of the FRG),99.34002887,100.0583969,100.5704664,99.9627899,100.167004,100.3712181,100.7804789,100.7804789,100.7804789,100.4756992,100.6799181,101.1920235,100.4836793,101.0988855,101.3031257,101.0997058,100.8962858,101.3056014,101.5098466,101.6118665,101.6118665,101.2058251,101.2058251,101.3078471,100,100.9174312,101.6309888,102.1406728,102.54842,102.4464832,102.8542304,102.7522936,102.4464832,102.4464832,101.4271152,101.529052
