Country,Weight_raw,Weight_normalized
Serbia,0.05967,0.064093062
Lithuania,0.05421,0.058228338
France,0.0509,0.054672983
Cyprus,0.05067,0.054425934
Croatia,0.04798,0.051536536
Spain,0.04747,0.050988732
Italy,0.04703,0.050516117
Romania,0.04666,0.050118691
Luxembourg,0.04556,0.048937153
Norway,0.0455,0.048872705
North Macedonia,0.04535,0.048711587
Germany,0.04506,0.04840009
Portugal,0.04492,0.048249713
Greece,0.04409,0.047358189
Slovenia,0.04402,0.047283
Poland,0.04385,0.047100399
Bulgaria,0.0434,0.046617042
Austria,0.04248,0.045628847
Latvia,0.04168,0.044769546
Czech Republic,0.04049,0.043491337
Estonia,0,0
Belgium,0,0
United Kingdom,0,0
Turkey,0,0
Malta,0,0
Iceland,0,0
Ireland,0,0
Sweden,0,0
Denmark,0,0
Netherlands,0,0
Switzerland,0,0
Hungary,0,0
Slovakia,0,0
Finland,0,0
