Cat,Goodtype,Tradability,importshare,DiD_estimate,Std._Error,P_value,elasticity,DiD_Synth,SE_Synth
SER,Accommodation services,9.09,0,-5.00681385,2.396113678,0.042472154,0.151882613,-3.282076404,3.097579656
HH,Actual rentals for housing,0,0,-1.719306786,0.353796775,1.53E-05,0.049661625,-0.547775971,2.077390263
RETAIL,Alcoholic beverages,29.93,0.492683636,-1.952279578,0.269014838,4.81E-09,0.136598538,-1.878213682,1.767722947
OTHER,Audio-visual equipment,668.59,1,-4.831422126,0.917960799,4.02E-06,0.488085682,-3.979242962,1.652124107
RETAIL,Beer,15.92,0.22952,-3.170351148,0.547566338,6.87E-07,0.278955894,-4.024465535,2.260455456
HH,Books,7.43,0.85,-6.667610435,1.070589179,1.56E-07,0.492847375,-7.238237501,4.631942792
RETAIL,Bread and cereals,5.21,0.1,-0.28272242,0.18196214,0.127409837,0.015593563,-0.401647428,0.680521669
OTHER,Carpets and other floor coverings,15.46,0.61,0.299116335,0.454187036,0.513600187,-0.095355864,-0.063870665,3.545948481
SER,"Cleaning, repair and hire of clothing",0,0,-1.252152716,0.238448978,4.19E-06,0.029040373,-0.542281567,0.884158101
HH,Clothing,466.01,0.95,5.326561188,3.909519485,0.179986663,-0.240071672,2.725226148,1.780292868
RETAIL,"Coffee, tea and cocoa",13.15,0.726666667,-3.309565564,0.798204169,0.000151571,0.24301065,-2.710566665,2.942876804
SER,Communications,0.21,0,-0.770721062,0.293731409,0.011903906,0.134673461,-0.902893351,1.41386845
SER,Cultural services,0,0,-2.521845197,0.289663876,4.00E-11,0.124227876,-1.405082929,1.508760247
SER,Education,0.67,0,-0.601528995,0.356496069,0.098616492,0.017124271,-0.171906506,1.795611783
HH,Electrical appliances for personal care,55.43,0.9,-3.380050446,0.397665205,7.82E-11,0.318854027,-3.84821024,1.223646131
OTHER,"Electricity, fuels and heat energy",1.01,NA,1.252725188,0.398159717,0.002963962,0.081454521,-0.432752468,4.241898083
OTHER,Energy,1.01,NA,-3.667191085,1.481654303,0.01724496,0.385270711,-2.762742542,2.226985814
HH,Equipment for sport,59.88,0.965,-2.411781845,0.645941423,0.00053873,0.254919694,-4.088453323,3.184508802
RETAIL,Fish and seafood,21.05,0.943333333,-3.342751456,0.483859872,1.56E-08,0.325289861,-3.332478218,2.982535507
RETAIL,Food (overall index),13.15,0.390714286,-1.111781887,0.366850245,0.004077983,0.141383155,-1.404002677,1.460154703
RETAIL,Other food products,13.15,0.5,-2.084902036,0.289639758,5.86E-09,0.235394179,-2.521105294,1.886009332
HH,Footwear,466.01,0.99,3.295245137,3.824014144,0.393511468,-0.055868128,0.864712091,2.288370722
RETAIL,Fruits,37.5,0.632727273,-3.654526077,1.725608108,0.039876447,0.39045911,-4.344027953,3.711220334
OTHER,Transport fuels and lubricants,18.46,1,-2.958801056,2.432605942,0.230352015,0.399579364,-3.74090584,2.144592226
HH,Household equipment,37.2,0.65,-2.88408869,0.37641772,1.24E-09,0.205252785,-1.895429493,1.435171188
HH,Furniture and furnishings,86.2,0.7,-3.830342113,0.728853368,4.13E-06,0.315260593,-3.664256731,2.595208766
HH,"Games, toys and hobbies",709.81,0.95,-2.054818373,0.344150915,3.73E-07,0.211301767,-3.01114114,1.927492497
HH,"Gardens, plants and flowers",10.81,0.5,-1.869473277,0.591701713,0.002856918,0.108192925,-1.014042826,1.846983404
HH,Garments,466.01,0.9,6.328109848,4.161986219,0.135551119,-0.31067811,3.44199064,1.699521028
HH,"Glassware, tableware and household utensils",45.84,0.65,-1.252590953,0.406471432,0.003545384,0.080835697,-1.557129913,1.463461908
HH,Goods and services for routine household maintenance,9.72,0.3,-0.920267919,0.326593862,0.007217078,0.102906411,-1.370962339,1.355608981
